sps,Var1,Var2,Var3,Var4,Var5,Var6
Aebu,Bottom.Temp.max,landdist_clip,SST.min,NA,NA,NA
Alim,depthclip,Ice.thick.Mean,ph_clip,SST.Mean,NA,NA
Atam,Iron.min,landdist_clip,Nitrate.Mean,SSS.min,SST.Mean,NA
Aton,depthclip,landdist_clip,SSS.min,SST.Mean,NA,NA
Bsch,Bottom.Temp.max,depthclip,SSS.min,NA,NA,NA
Bvio,Bottom.Temp.max,landdist_clip,SST.Mean,NA,NA,NA
Cfra,Bottom.Temp.max,Ice.thick.Mean,landdist_clip,SST.Mean,NA,NA
Cint,Bottom.Temp.max,landdist_clip,SSS.min,NA,NA,NA
Cmae,Bottom.Temp.max,depthclip,SST.Mean,NA,NA,NA
Copi,depthclip,Ice.thick.Mean,SSS.max,SST.Mean,NA,NA
Dcau,Iron.max,landdist_clip,ph_clip,Phosphate.Mean,SST.Mean,NA
Dcon,Bottom.Temp.max,depthclip,Iron.min,landdist_clip,NA,NA
Dden,Iron.min,landdist_clip,Nitrate.max,SST.max,NA,NA
Gpol,Iron.Mean,landdist_clip,ph_clip,Silicate.Mean,SST.Mean,NA
Htri,Iron.min,landdist_clip,SSS.max,SST.Mean,NA,NA
Llit,Bottom.Temp.max,depthclip,SSS.min,SST.max,NA,NA
Mare,Bottom.Salinity.min,Bottom.Temp.max,depthclip,NA,NA,NA
Mlei,Ice.thick.Mean,SSS.min,SST.max,NA,NA,NA
Mman,Bottom.Salinity.min,Bottom.Temp.max,depthclip,landdist_clip,NA,NA
Mmem,Bottom.Temp.max,depthclip,landdist_clip,NA,NA,NA
Pcam,Bottom.Temp.max,depthclip,SST.Mean,NA,NA,NA
Smut,Bottom.Temp.Mean,landdist_clip,Nitrate.max,NA,NA,NA
Upin,Bottom.Temp.max,calcite_clip,depthclip,Diss.O2.max,Ice.thick.Mean,landdist_clip
